feature fusion,"first align, then train",,,,,,,
Justice level (5158 entries),training,,,,,,,
"Data (0.64,0.16,0.2)",model,train,validation,test,p-value,precision,recall,f1-score
info,64+32+16 FC,0.822,0.712,0.69,,,,
text,32CON1D+5MAXPOOL+16GRU,0.569,0.545,0.528,,,,
audio,2+1 FC,0.554,0.542,0.518,,,,
Info + text,,0.878,0.712,0.702,,,,
Info + audio,,0.818,0.715,0.696,,,,
Text + audio,,0.634,0.523,0.53,,,,
Info + text + audio,,0.905,0.722,0.698,,,,
,,,,,,,,
case level (1000 cases),training,,,,,,,
"Data (0.64,0.16,0.2)",model,train,validation,test,p-value,precision,recall,f1-score
info,64+32+16 FC,0.97,0.662,0.64,,,,
text,32CON1D+5MAXPOOL+16GRU,0.652,0.694,0.685,,,,
audio,2+1 FC,0.611,0.662,0.64,,,,
Info + text,,0.65,0.694,0.685,,,,
Info + audio,,0.983,0.619,0.64,,,,
Text + audio,,0.694,0.694,0.69,,,,
Info + text + audio,,0.995,0.606,0.63,,,,
,,,,,,,,
case level,calculated by results of justice level,,,,,,,
"Data (0.64,0.16,0.2)",Model – from justice level,predicted accuracy,,,,,,
info,,0.836,,,,,,
text,,0.593,,,,,,
audio,,0.594,,,,,,
Info + text,,0.594,,,,,,
Info + audio,,0.594,,,,,,
Text + audio,,0.594,,,,,,
Info + text + audio,,0.594,,,,,,
,,,,,,,,
,,,,,,,,
decision fusion,"first sep. train, then gather results",,,,,,,
Justice level,training,,,,,,,
"Data (0.64,0.16,0.2)",model,train,validation,test,p-value,precision,recall,f1-score
info,91838,0.994,0.993,0.993,,,,
text,10742*2,0.561,0.541,0.528,,,,
audio,5158,0.554,0.542,0.518,,,,
Info + text,"fine tune 5158, 177 paras",0.554,0.542,0.518,,,,
Info + audio,"5158, 91",0.554,0.542,0.518,,,,
Text + audio,163,0.554,0.542,0.518,,,,
Info + text + audio,184,0.546,0.559,0.527,,,,
,,,,,,,,
case level,training,,,,,,,
"Data (0.64,0.16,0.2)",model,train,validation,test,p-value,precision,recall,f1-score
info,,,,,,,,
text,,,,,,,,
audio,,,,,,,,
Info + text,,,,,,,,
Info + audio,,,,,,,,
Text + audio,,,,,,,,
Info + text + audio,,,,,,,,
,,,,,,,,
case level,calculated by results of justice level,,,,,,,
"Data (0.64,0.16,0.2)",Model – from justice level,predicted accuracy,,,,,,
info,,,,,,,,
text,,,,,,,,
audio,,,,,,,,
Info + text,,,,,,,,
Info + audio,,,,,,,,
Text + audio,,,,,,,,
Info + text + audio,,,,,,,,
,,,,,,,,
,,,,,,,,
descriptive statistics,from mix_data_justice/caseinfo_justice.csv,,,,,,,
justice level,petitioner vs. respondent voting,,,,,,,
case level,petitioner vs. respondent voting,,,,,,,
justice frequency,,,,,,,,
justice frequency and voting,,,,,,,,
case count trend (term),annotate chief justice,,,,,,,
petitioner count,respondent count,,,,,,,
caseoriginstate,map,,,,,,,
certReason,frequency,,,,,,,
issue,278 distinct values,,,,,,,
issue area,14 distinct values – frequency,,,,,,,
law type,frequency,,,,,,,
varLegalProvisions,206 Distinct Values,,,,,,,
TARGET VARIABLES,,,,,,,,
Party winning,frequency,frequency in trend,,,,,,
lcDisagreement,frequency,,,,,,,
declarationUncon,frequency,,,,,,,
OTHER GRAPH,,,,,,,,
correlation matrix,for categorical variables,,,,,,,
